id,text1,text2,score
sample_000970,a man plays the piano .,a man is playing a piano .,5.0
sample_001004,a woman is dancing in the rain .,a woman dances in the rain out side .,5.0
sample_001042,a woman slices tofu .,a woman is cutting tofu .,5.0
sample_001066,a woman puts flour on a piece of meat .,a woman is putting flour onto some meat .,5.0
sample_001071,a person plays a keyboard .,someone is playing a keyboard .,5.0
sample_001119,a man puts some cheese on a pizza .,the man sprinkled cheese on the pizza .,5.0
sample_001120,the boy is playing the piano .,a boy plays a piano .,5.0
sample_001121,the man is kissing and hugging the woman .,a man is hugging and kissing a woman .,5.0
sample_001131,a man is buttering a piece of bread .,a man is applying butter to bread .,5.0
sample_001227,a man puts seasoning in a bowl of water .,the man added seasoning to water in a bowl .,5.0
sample_001239,the man used a sword to slice a plastic bottle .,a man sliced a plastic bottle with a sword .,5.0
sample_001305,a man is doing trick with play cards .,a man is performing a card trick .,5.0
sample_001321,a group of people sing .,some people are singing .,5.0
sample_001502,amendment no 7 proposes certain changes in the references to paragraphs .,amendment no 7 is proposing certain changes in the references to paragraphs .,5.0
sample_001505,"the fishermen are inactive , tired and disappointed .","the fishermen are inactive , tired and disappointed .",5.0
sample_001506,neither was there a qualified majority within this house to revert to article 272 .,there was not a majority voting in parliament to go back to article 272 .,5.0
sample_001508,"the fishermen are inactive , tired and disappointed .","the fishers are inactive , tired and disappointed .",5.0
sample_001509,the leaders have now been given a new chance and let us hope they seize it .,leaders now have another chance to let them and therefore take .,5.0
sample_001510,the vote will take place today at 5.30 p.m .,the vote will take place at 17h30 .,5.0
sample_001516,tunisia,tunisia,5.0
sample_001519,"mr president , the cashman report can be summarised in four words : citizens ' power over bureaucracy .","mr president , the cashman report can be summed up in a few words : the power of citizens on bureaucracy .",5.0
sample_001520,amendment no 7 proposes certain changes in the references to paragraphs .,amendment no 7 proposes changes to certain paragraphs references .,5.0
sample_001522,"thank you , commissioner .","thank you , commissioner .",5.0
sample_001524,"thank you , commissioner .","thank you , commissioner .",5.0
sample_001525,( parliament adopted the legislative resolution ),( parliament adopted the legislative resolution ),5.0
sample_001526,let me remind you that our allies include fervent supporters of this tax .,"i want to say to you that among our allies , there are fervent of this tax .",5.0
sample_001530,it increases the power of the big countries at the expense of the small countries .,it has increased the power of the large countries to the detriment of small .,5.0
sample_001535,it increases the power of the big countries at the expense of the small countries .,it has in fact increased the power of large countries to the detriment of small .,5.0
sample_001536,then perhaps we could have avoided a catastrophe .,perhaps then we would have avoided a catastrophe .,5.0
sample_001538,neither was there a qualified majority within this house to revert to article 272 .,there was not either qualified majority within this parliament to come back to the article 272 .,5.0
sample_001539,amendment no 7 proposes certain changes in the references to paragraphs .,amendment no 7 proposes certain changes in the references to paragraphs .,5.0
sample_001540,maij-weggen report ( a5-0323 / 2000 ),maij-weggen report ( a5-0323 / 2000 ),5.0
sample_001542,"thank you , commissioner .","thank you , commissioner .",5.0
sample_001543,amendment no 7 proposes certain changes in the references to paragraphs .,amendment 7 proposes certain modifications in the references to the paragraphs .,5.0
sample_001549,"thank you , commissioner .","thank you , commissioner .",5.0
sample_001550,( parliament adopted the legislative resolution ),( the parliament adopts the legislative resolution ),5.0
sample_001551,tunisia,tunisia,5.0
sample_001552,"mr president , the cashman report can be summarised in four words : citizens ' power over bureaucracy .","mr president , the cashman report can be summarized in a few words : the power of citizens on bureaucracy .",5.0
sample_001553,neither was there a qualified majority within this house to revert to article 272 .,there was no more qualified majority voting in this parliament to come back to article 272 .,5.0
sample_001557,van orden report ( a5-0241 / 2000 ),van orden report ( a5-0241 / 2000 ),5.0
sample_001559,it is our job to continue to support latvia with the integration of the russian population .,it is our duty to continue to support latvia on the issue of the integration of the russian population .,5.0
sample_001560,( parliament adopted the legislative resolution ),( parliament adopted the legislative resolution ),5.0
sample_001564,maij-weggen report ( a5-0323 / 2000 ),maij-weggen report ( a5-0323 / 2000 ),5.0
sample_001570,it is our job to continue to support latvia with the integration of the russian population .,it is of our duty to continue supporting the latvia on the question of the incorporation of the russian population .,5.0
sample_001571,van orden report ( a5-0241 / 2000 ),mr van orden report ( a5-0241 / 2000 ),5.0
sample_001572,"mr president , the cashman report can be summarised in four words : citizens ' power over bureaucracy .","mr. president , the cashman report / ratio can summarize himself in a few words : capacity of the citizens on the bureaucracy .",5.0
sample_001573,amendment no 7 proposes certain changes in the references to paragraphs .,amendment 7 proposes certain modifications in the references to the paragraphs .,5.0
sample_001575,it is our job to continue to support latvia with the integration of the russian population .,it is our duty to continue to support the latvia on the question of the integration of the russian population .,5.0
sample_001576,( parliament adopted the legislative resolution ),( parliament adopted the legislative resolution ),5.0
